,null,zpe,U0,U,H,G,Cv
63,63,0.171445697546,-397.68637085,-397.356689453,-399.318847656,-398.998046875,33.1370925903
64,64,0.14963170886,-436.199554443,-436.174957275,-437.287475586,-437.112670898,33.1956558228
65,65,0.175307288766,-376.329223633,-375.607421875,-379.090789795,-378.526702881,31.5936031342
66,66,0.140472128987,-451.531768799,-451.190856934,-452.091217041,-451.937469482,31.4033679962
67,67,0.191383272409,-396.963867188,-396.500701904,-398.766540527,-398.12197876,36.9037742615
68,68,0.141255825758,-399.467041016,-398.989562988,-400.571350098,-400.476226807,29.6205387115
69,69,0.149618938565,-417.147064209,-416.738494873,-418.064758301,-417.773925781,29.477558136
70,70,0.0878367871046,-418.009918213,-418.191802979,-416.773925781,-416.893432617,27.6423034668
71,71,0.186775505543,-364.861694336,-364.41986084,-366.767913818,-366.10836792,34.3229217529
72,72,0.115828022361,-447.849243164,-447.702209473,-447.815093994,-447.855499268,30.5297794342
73,73,0.186926871538,-376.094726562,-375.331787109,-378.633239746,-377.967315674,33.7588653564
74,74,0.224041551352,-354.054016113,-352.954467773,-358.546386719,-357.942047119,38.2273101807
75,75,0.20003926754,-419.316467285,-418.946228027,-422.565338135,-422.151916504,38.9172210693
76,76,0.102370604873,-428.665283203,-428.534790039,-429.050628662,-429.167114258,26.6132907867
77,77,0.220561772585,-391.077026367,-391.289825439,-393.202636719,-392.816650391,42.020149231
78,78,0.12722723186,-400.211151123,-399.764221191,-401.58770752,-401.40914917,28.9302825928
79,79,0.182279646397,-382.090454102,-382.024291992,-383.248657227,-382.880065918,35.4138679504
80,80,0.155773252249,-418.127685547,-418.050872803,-419.840209961,-419.539978027,34.7625694275
81,81,0.19792214036,-371.862518311,-371.743469238,-373.132202148,-372.702911377,37.9741020203
82,82,0.135249853134,-440.057678223,-440.032775879,-440.029266357,-439.995483398,31.7620315552
83,83,0.102350056171,-430.655578613,-430.338806152,-431.651733398,-431.816192627,28.7512683868
84,84,0.122084200382,-417.318206787,-416.975280762,-418.343841553,-418.295318604,28.159444809
85,85,0.156429067254,-421.02734375,-420.854278564,-422.677307129,-422.362701416,32.3666038513
86,86,0.106862083077,-452.822662354,-452.564025879,-453.866638184,-453.988311768,28.3633441925
87,87,0.243667721748,-345.957275391,-353.690704346,-320.915344238,-320.254547119,44.4331054688
88,88,0.183628499508,-436.055603027,-435.836486816,-437.27432251,-436.850708008,35.6654434204
89,89,0.178932458162,-405.510070801,-405.077270508,-407.606018066,-407.119659424,34.8927764893
90,90,0.163275450468,-365.339263916,-365.229736328,-367.210906982,-366.71774292,31.6138820648
91,91,0.176227882504,-420.554626465,-420.281738281,-423.413208008,-423.089172363,34.3349647522
92,92,0.117240250111,-438.745025635,-438.778259277,-438.542785645,-438.551635742,29.0137557983
93,93,0.148374423385,-415.227172852,-414.999816895,-416.410186768,-416.140930176,31.2284412384
94,94,0.160573095083,-378.1796875,-377.976745605,-380.71005249,-380.338653564,29.4131526947
95,95,0.153459042311,-378.250854492,-378.055603027,-380.432983398,-379.96383667,29.6520252228
96,96,0.143915057182,-377.922973633,-377.073852539,-381.369232178,-380.956298828,29.0527210236
97,97,0.136346176267,-438.049102783,-437.715087891,-438.918395996,-438.877746582,31.0965709686
98,98,0.135531082749,-391.633270264,-391.017547607,-392.477111816,-392.137451172,29.9821643829
99,99,0.215027719736,-393.179016113,-393.008209229,-396.18258667,-395.818084717,37.7660522461
100,100,0.182424232364,-362.215362549,-362.003417969,-364.541137695,-363.940063477,30.1548213959
101,101,0.20127555728,-372.559570312,-372.424438477,-374.791870117,-374.318756104,37.07837677
102,102,0.158600613475,-432.628814697,-432.567382812,-433.899108887,-433.60369873,30.0461025238
103,103,0.132503241301,-435.006591797,-434.836883545,-436.649047852,-436.616485596,30.7755908966
104,104,0.138363599777,-435.690704346,-435.200561523,-436.668884277,-436.58493042,30.7437534332
105,105,0.181426510215,-428.55255127,-428.294250488,-430.503265381,-430.079071045,32.591594696
106,106,0.134340971708,-456.71484375,-456.708007812,-458.073425293,-458.058258057,30.8476791382
107,107,0.158898741007,-450.886230469,-450.74230957,-452.827941895,-452.64541626,32.3697509766
108,108,0.15240316093,-407.77154541,-407.727844238,-408.574035645,-408.25112915,31.177230835
109,109,0.16889166832,-430.708648682,-430.358154297,-431.01953125,-430.697418213,35.0009841919
110,110,0.159124270082,-406.763671875,-406.392822266,-408.110443115,-407.745269775,34.192111969
111,111,0.127658113837,-417.9480896,-417.470458984,-419.838684082,-419.820831299,29.8500289917
112,112,0.130182161927,-424.323425293,-423.923736572,-426.512817383,-426.413818359,30.1095409393
113,113,0.178728610277,-429.729034424,-429.54284668,-431.395599365,-431.017913818,34.8823738098
114,114,0.115951351821,-424.004516602,-424.024658203,-424.369537354,-424.321746826,28.491733551
115,115,0.204527020454,-344.799804688,-344.298034668,-347.594818115,-347.057220459,34.0380897522
116,116,0.133024096489,-436.195129395,-436.000610352,-437.43951416,-437.254119873,29.8157634735
117,117,0.177668243647,-462.872283936,-462.921325684,-464.239837646,-464.150939941,38.0408401489
118,118,0.133676588535,-445.690093994,-445.487579346,-446.362854004,-446.239746094,28.5685005188
119,119,0.13199056685,-420.861083984,-420.605560303,-421.485046387,-421.288299561,30.5969200134
120,120,0.147761806846,-426.966400146,-426.775024414,-427.734344482,-427.508392334,32.7769088745
121,121,0.147066265345,-398.467224121,-398.091827393,-400.052032471,-399.592773438,31.3962574005
122,122,0.162362083793,-381.246948242,-381.405853271,-383.114440918,-382.762878418,30.3827590942
123,123,0.17123426497,-373.341156006,-372.592437744,-375.475097656,-374.981719971,32.9290428162
124,124,0.188336968422,-377.852966309,-377.793487549,-379.07321167,-378.571563721,31.0182247162
125,125,0.132659584284,-407.146057129,-406.659790039,-408.047637939,-407.821136475,30.4403591156
126,126,0.17127288878,-395.97756958,-395.665222168,-397.387329102,-397.00012207,32.8761138916
127,127,0.113954417408,-425.304473877,-425.24798584,-425.15625,-425.086883545,29.3037509918
128,128,0.173036694527,-396.611022949,-396.146087646,-397.683227539,-397.298828125,33.6730041504
129,129,0.149799332023,-383.41583252,-382.785766602,-385.283752441,-384.816192627,30.3162708282
130,130,0.168744236231,-398.470214844,-398.188659668,-400.487091064,-400.08505249,33.367893219
131,131,0.136995732784,-455.619598389,-455.578430176,-457.003387451,-457.007507324,28.0551738739
132,132,0.125415310264,-441.179748535,-440.881256104,-442.374176025,-442.396789551,29.2514286041
133,133,0.176014274359,-378.297851562,-378.004669189,-380.283996582,-379.801208496,31.8760738373
134,134,0.106941893697,-433.871826172,-434.145568848,-434.228210449,-434.453338623,28.1713562012
135,135,0.174921482801,-391.270996094,-391.098205566,-392.690216064,-392.208587646,35.900970459
136,136,0.184056982398,-423.463256836,-423.42590332,-424.925415039,-424.453857422,35.1874771118
137,137,0.181383624673,-435.211883545,-434.96395874,-435.897033691,-435.396697998,36.4265708923
138,138,0.122363701463,-414.543273926,-414.347900391,-415.811401367,-415.70916748,28.5127277374
139,139,0.17986522615,-392.812286377,-392.414794922,-395.598175049,-395.104278564,32.7608718872
140,140,0.147625595331,-423.665405273,-423.375732422,-424.886901855,-424.626190186,29.9213619232
141,141,0.10408256948,-426.675048828,-426.349975586,-428.238098145,-428.369110107,27.3297557831
142,142,0.0905608981848,-433.529296875,-433.64074707,-432.470031738,-432.635223389,26.1679649353
143,143,0.185599625111,-421.138000488,-421.054748535,-422.477966309,-421.981018066,33.6765594482
144,144,0.139603286982,-430.506591797,-430.18838501,-430.885192871,-430.628326416,27.5573177338
145,145,0.161907359958,-402.194091797,-401.904998779,-404.4190979,-403.851501465,31.6913089752
146,146,0.105924040079,-439.962097168,-439.889984131,-440.341674805,-440.380767822,28.7703094482
147,147,0.130116373301,-437.996276855,-437.548339844,-439.99017334,-439.875396729,29.1954479218
148,148,0.159688904881,-412.599487305,-412.553833008,-413.222900391,-412.894622803,33.6917800903
149,149,0.186532050371,-374.828704834,-374.777282715,-376.468994141,-375.976959229,30.2744865417
150,150,0.15861082077,-378.389221191,-378.498840332,-380.477233887,-380.042510986,32.5706787109
151,151,0.140326723456,-459.894165039,-459.34487915,-460.788269043,-460.550811768,32.0778923035
152,152,0.168104588985,-430.417938232,-430.063293457,-431.650146484,-431.284698486,35.8199996948
153,153,0.172342151403,-398.123291016,-397.573791504,-399.990112305,-399.558410645,32.3817138672
154,154,0.151497647166,-387.901611328,-387.23236084,-389.426391602,-388.908569336,29.5314865112
155,155,0.0817708820105,-414.441741943,-414.733093262,-414.201538086,-414.314300537,24.5848731995
156,156,0.0783325433731,-419.938842773,-419.953552246,-420.637359619,-420.872650146,25.6730499268
157,157,0.152015671134,-435.081787109,-435.10559082,-435.90032959,-435.653533936,33.5085601807
158,158,0.107963360846,-438.218383789,-437.940185547,-439.524841309,-439.712493896,28.443025589
159,159,0.137262135744,-411.947814941,-411.551330566,-413.863250732,-413.745147705,29.860080719
160,160,0.18708267808,-359.927459717,-359.396484375,-362.59677124,-362.054870605,30.9421787262
161,161,0.15243165195,-390.915557861,-390.200469971,-393.394256592,-392.864227295,29.111913681
162,162,0.114183217287,-444.181121826,-444.047241211,-445.60168457,-445.682952881,27.1041202545
163,163,0.110069252551,-432.817687988,-432.44631958,-434.081237793,-434.166778564,28.1405677795
164,164,0.12164298445,-421.819335938,-421.620025635,-423.092254639,-423.062774658,28.9139156342
165,165,0.186697155237,-434.863098145,-434.252807617,-437.194519043,-436.812408447,37.5686531067
166,166,0.170276075602,-394.422485352,-393.873809814,-396.157714844,-395.690063477,33.1848297119
167,167,0.177109241486,-361.80078125,-361.072021484,-364.68927002,-364.156036377,31.4788818359
168,168,0.172063365579,-388.878387451,-388.276000977,-391.141906738,-390.716156006,32.3046264648
169,169,0.119568675756,-407.618377686,-407.158081055,-408.517913818,-408.452056885,27.5620708466
170,170,0.175504267216,-355.448394775,-354.583404541,-358.596923828,-357.875335693,34.4646911621
171,171,0.136827528477,-446.977844238,-446.985076904,-448.337036133,-448.409240723,31.6350498199
172,172,0.174076288939,-408.556091309,-408.246276855,-410.225952148,-409.717132568,33.7349395752
173,173,0.138957440853,-384.498779297,-383.91986084,-386.248901367,-385.908721924,29.1966495514
174,174,0.161698251963,-356.692199707,-356.498291016,-359.015563965,-358.577606201,30.2510223389
175,175,0.15786832571,-422.190612793,-422.072723389,-423.276672363,-422.948028564,30.6607379913
176,176,0.182991266251,-379.218841553,-379.08303833,-380.707489014,-380.303253174,33.8319625854
177,177,0.157629355788,-420.624786377,-420.559387207,-421.900695801,-421.628936768,32.8886070251
178,178,0.115609183908,-445.103393555,-445.134216309,-446.031707764,-446.150878906,28.2909545898
179,179,0.148721382022,-415.161651611,-414.735778809,-416.614440918,-416.416290283,30.5556125641
180,180,0.175252109766,-424.811828613,-424.618988037,-426.769287109,-426.417999268,34.4789123535
181,181,0.137143418193,-448.631347656,-448.361114502,-449.204223633,-449.068756104,31.625415802
182,182,0.183546110988,-375.101898193,-375.08404541,-376.924804688,-376.5284729,32.6835327148
183,183,0.116624623537,-432.896575928,-432.723571777,-433.578308105,-433.566986084,30.0094890594
184,184,0.130733937025,-442.983215332,-442.980834961,-443.316650391,-443.296722412,31.7297439575
185,185,0.177423447371,-365.567810059,-365.024078369,-368.234619141,-367.670196533,31.9743213654
186,186,0.174004495144,-403.324523926,-403.042724609,-404.510009766,-404.088897705,33.8351516724
187,187,0.19601996243,-414.981262207,-414.651245117,-418.326690674,-417.9402771,37.2468032837
188,188,0.151536941528,-377.757873535,-378.083435059,-379.274017334,-379.038482666,26.3565483093
189,189,0.167861565948,-431.314331055,-431.069824219,-432.093902588,-431.743988037,36.7994308472
190,190,0.142578035593,-436.862121582,-436.488708496,-438.049865723,-437.995574951,28.7818622589
191,191,0.15514716506,-380.455688477,-380.367675781,-382.671478271,-382.294311523,29.5711898804
192,192,0.178093835711,-378.203369141,-377.795471191,-380.30657959,-379.798156738,30.3052921295
193,193,0.171525120735,-358.331481934,-357.776367188,-360.820587158,-360.325836182,34.1979255676
194,194,0.13060964644,-398.256134033,-397.487487793,-400.563415527,-400.477508545,28.9548950195
195,195,0.109366118908,-452.457519531,-452.382537842,-453.448028564,-453.486907959,28.8683624268
196,196,0.0886372700334,-412.348297119,-412.233764648,-412.803100586,-413.008575439,25.3798694611
197,197,0.178292676806,-427.22668457,-427.118652344,-429.019042969,-428.670166016,31.6257266998
198,198,0.181019350886,-413.325256348,-412.76965332,-415.365203857,-414.848510742,37.1722946167
199,199,0.182614684105,-409.744262695,-409.518859863,-411.092315674,-410.625946045,36.2060928345
200,200,0.148102208972,-396.65411377,-396.027008057,-398.593841553,-398.206634521,30.7174072266
201,201,0.204190403223,-350.76348877,-350.230957031,-353.613739014,-353.118469238,36.0503845215
202,202,0.125882402062,-434.60333252,-434.541046143,-435.457336426,-435.459381104,29.6162242889
203,203,0.18001767993,-454.359436035,-453.968688965,-457.024993896,-456.893676758,36.1262664795
204,204,0.0948018953204,-411.555358887,-411.369293213,-412.254577637,-412.440551758,25.5301113129
205,205,0.14340980351,-417.632019043,-417.495269775,-418.183074951,-418.034942627,30.3531932831
206,206,0.18320775032,-427.138977051,-426.91607666,-428.814971924,-428.456054688,32.6455154419
207,207,0.0615561977029,-378.705444336,-378.582885742,-378.782775879,-379.080871582,18.8638057709
208,208,0.178918376565,-364.017303467,-363.189331055,-367.89276123,-367.260284424,30.5158863068
209,209,0.141282260418,-440.880187988,-440.827667236,-441.066223145,-440.948272705,28.491651535
210,210,0.118617042899,-471.850158691,-471.776123047,-473.060058594,-472.898101807,28.0155582428
211,211,0.133455216885,-435.547271729,-435.194763184,-436.575500488,-436.382476807,30.8997573853
212,212,0.114675730467,-450.264526367,-449.839294434,-451.80645752,-451.963348389,28.5381774902
213,213,0.145259186625,-427.500244141,-427.587158203,-427.813812256,-427.655426025,30.0330410004
214,214,0.157074332237,-416.781066895,-416.814666748,-417.910095215,-417.609222412,31.6886806488
215,215,0.184577703476,-380.853942871,-380.565063477,-382.958099365,-382.406707764,32.6389732361
216,216,0.175329297781,-383.137298584,-382.772766113,-385.825927734,-385.45526123,30.2104434967
217,217,0.182652696967,-425.118774414,-424.823150635,-426.950500488,-426.482208252,36.2670097351
218,218,0.13739991188,-425.395935059,-424.972595215,-426.825683594,-426.587585449,30.7742824554
219,219,0.131832480431,-433.963470459,-433.433990479,-435.571105957,-435.467529297,28.2736492157
220,220,0.147838637233,-405.097686768,-404.643676758,-406.02355957,-405.593902588,31.0107822418
221,221,0.172360211611,-379.900512695,-378.609527588,-383.708435059,-383.159759521,36.9189491272
222,222,0.130642965436,-414.685424805,-414.523376465,-415.467376709,-415.421936035,29.4425697327
223,223,0.148749500513,-422.695739746,-422.448242188,-424.339294434,-424.151489258,30.1480140686
224,224,0.156544268131,-402.382049561,-402.057769775,-404.501068115,-404.238250732,31.332113266
225,225,0.115667775273,-442.304962158,-442.131500244,-443.018737793,-443.090301514,29.905002594
226,226,0.132520377636,-399.525268555,-398.947662354,-401.605773926,-401.40725708,28.7432842255
227,227,0.098915271461,-432.351379395,-432.243164062,-433.069793701,-433.249725342,28.3610973358
228,228,0.116576641798,-403.512359619,-403.380737305,-404.111724854,-404.105804443,26.5149021149
229,229,0.179442435503,-413.029449463,-412.699707031,-414.926391602,-414.395812988,39.1501846313
230,230,0.201463282108,-379.409545898,-379.120483398,-382.017150879,-381.565216064,34.4936599731
231,231,0.123264320195,-438.274047852,-438.126190186,-439.313598633,-439.379089355,29.0119342804
232,232,0.157562211156,-420.010131836,-420.064910889,-421.098632812,-420.751800537,33.2703704834
233,233,0.14936812222,-437.688110352,-437.741760254,-439.287414551,-439.013824463,33.9226074219
234,234,0.123868964612,-433.123779297,-432.924346924,-433.534790039,-433.44241333,31.5610198975
235,235,0.112945497036,-442.259765625,-442.03515625,-443.20614624,-443.381378174,28.3579540253
236,236,0.163055211306,-374.909729004,-374.821746826,-377.221923828,-376.838653564,28.3551158905
237,237,0.186763033271,-378.374938965,-378.165588379,-379.870880127,-379.359466553,32.72265625
238,238,0.149361878633,-397.057678223,-396.363037109,-398.852203369,-398.413482666,30.6946582794
239,239,0.129069447517,-434.929046631,-434.406616211,-436.900482178,-436.834014893,28.6481342316
240,240,0.140287101269,-387.68157959,-386.921508789,-389.453369141,-389.034515381,26.7578430176
241,241,0.127055823803,-450.787445068,-450.61038208,-452.305358887,-452.266662598,30.703453064
242,242,0.154062777758,-371.802307129,-371.522064209,-374.16494751,-373.781890869,29.8881855011
243,243,0.201670452952,-371.581420898,-371.411956787,-373.383239746,-372.890167236,36.1189918518
244,244,0.149845942855,-390.080566406,-389.487213135,-392.509887695,-392.169952393,30.4479923248
245,245,0.170061722398,-401.763244629,-401.249053955,-403.520568848,-403.056274414,33.1764678955
246,246,0.152256891131,-390.520141602,-389.92767334,-392.275268555,-391.779693604,29.2397556305
247,247,0.114667534828,-411.061828613,-411.280273438,-410.692169189,-410.611236572,29.799911499
248,248,0.129252299666,-442.568725586,-442.309997559,-443.257629395,-443.219390869,30.0466442108
249,249,0.192472532392,-376.67678833,-376.051330566,-378.818756104,-378.295074463,35.8153991699
250,250,0.181977942586,-427.664825439,-427.096008301,-429.585296631,-429.070587158,36.8396186829
251,251,0.156016796827,-397.191711426,-396.989959717,-398.995880127,-398.60244751,33.2603988647
252,252,0.156774401665,-434.627960205,-434.629455566,-435.964202881,-435.564117432,30.4436779022
253,253,0.12787540257,-436.230041504,-436.182128906,-436.92980957,-436.902618408,30.5030155182
254,254,0.161015480757,-435.622497559,-435.740142822,-436.837341309,-436.481567383,30.2577762604
255,255,0.154024139047,-416.892211914,-416.771484375,-418.966796875,-418.846923828,29.4039974213
256,256,0.134893923998,-423.234313965,-422.794311523,-424.770294189,-424.623046875,28.329624176
257,257,0.177214816213,-432.704345703,-432.523834229,-432.755371094,-432.383239746,36.4124031067
258,258,0.136887475848,-391.682006836,-391.259094238,-392.94140625,-392.657836914,29.5177268982
259,259,0.162648379803,-435.130889893,-435.044433594,-436.439208984,-436.170806885,31.4324321747
260,260,0.181897506118,-389.238952637,-389.096984863,-391.093780518,-390.689910889,33.6323127747
261,261,0.128476321697,-429.545501709,-429.027282715,-431.492248535,-431.38961792,28.9432983398
262,262,0.121150702238,-450.579406738,-450.154083252,-452.353942871,-452.398468018,28.6560764313
263,263,0.106682896614,-441.203735352,-441.069091797,-441.593048096,-441.649993896,28.8880634308
264,264,0.168461963534,-391.700164795,-391.09765625,-393.619812012,-393.168731689,32.298538208
265,265,0.0917199850082,-416.884216309,-417.078125,-415.949584961,-416.121826172,26.7771930695
266,266,0.135982021689,-406.267608643,-405.744140625,-407.283538818,-407.2293396,30.6935901642
267,267,0.129324570298,-428.893554688,-428.354278564,-430.661804199,-430.615661621,28.5517559052
268,268,0.201087579131,-382.557891846,-382.31829834,-384.788543701,-384.234466553,32.9356613159
269,269,0.189766839147,-433.701873779,-433.101654053,-435.574035645,-435.202819824,38.2519416809
270,270,0.158755421638,-456.906860352,-457.183959961,-457.738891602,-457.59286499,32.8125991821
271,271,0.11310903728,-432.377868652,-431.844116211,-433.267364502,-433.475006104,29.3811244965
272,272,0.164621442556,-359.821838379,-359.567443848,-362.127624512,-361.681365967,30.2639198303
273,273,0.172965794802,-391.971069336,-391.434448242,-393.464599609,-392.897521973,33.5563812256
274,274,0.145655810833,-393.568481445,-393.148376465,-395.327453613,-394.991729736,30.6650695801
275,275,0.128252267838,-429.606994629,-429.169372559,-431.222595215,-431.216278076,30.4166488647
276,276,0.179474517703,-362.928100586,-362.519287109,-365.270874023,-364.747680664,32.4986305237
277,277,0.158777952194,-438.958984375,-438.988647461,-439.256408691,-438.99395752,32.5034255981
278,278,0.173199981451,-406.231719971,-405.667785645,-407.71005249,-407.318389893,33.0646095276
279,279,0.191246986389,-404.9347229,-404.5,-406.597503662,-406.036621094,36.6498794556
280,280,0.117429211736,-401.622558594,-401.630493164,-402.385772705,-402.330780029,25.5148258209
281,281,0.238157004118,-339.332458496,-344.552062988,-315.282623291,-314.678619385,41.6590957642
282,282,0.14452598989,-441.854309082,-441.69329834,-442.988769531,-442.839019775,33.0447273254
283,283,0.126841500401,-390.823791504,-390.317749023,-391.597473145,-391.371368408,28.7177028656
284,284,0.197468966246,-368.317749023,-368.087677002,-370.730987549,-370.294769287,37.5021209717
285,285,0.102160036564,-426.563293457,-426.612365723,-426.89654541,-426.875091553,27.5140209198
286,286,0.173415929079,-402.637878418,-402.039154053,-404.140075684,-403.704101562,33.591709137
287,287,0.135958850384,-445.085845947,-445.164428711,-446.494476318,-446.51260376,30.2078914642
288,288,0.173645466566,-365.075622559,-364.665283203,-367.356079102,-366.806610107,31.7315654755
289,289,0.146268084645,-450.220825195,-450.439025879,-450.040252686,-449.933349609,33.2380065918
290,290,0.136781707406,-434.651184082,-434.535461426,-435.684387207,-435.627441406,30.529750824
291,291,0.146274939179,-420.150238037,-420.074005127,-421.069915771,-420.763275146,31.6227779388
292,292,0.12695710361,-435.991851807,-435.600341797,-437.810333252,-437.760498047,29.842546463
293,293,0.139786660671,-430.739501953,-430.17590332,-432.738098145,-432.500030518,30.8357486725
294,294,0.184390187263,-433.684143066,-433.621520996,-434.940368652,-434.467956543,33.0262069702
295,295,0.114247724414,-443.706207275,-443.433837891,-445.071533203,-445.066192627,29.5631370544
296,296,0.11241902411,-425.26385498,-425.209228516,-425.936279297,-425.825836182,28.1990280151
297,297,0.196640312672,-426.734069824,-426.327270508,-430.277160645,-429.90524292,38.7889099121
298,298,0.136846244335,-425.974731445,-425.656616211,-427.623260498,-427.4425354,30.1959609985
299,299,0.111477419734,-389.781890869,-389.515838623,-390.983428955,-390.978302002,24.9080142975
300,300,0.151672273874,-412.022155762,-411.929321289,-413.868835449,-413.627624512,29.9188251495
301,301,0.121128991246,-417.873657227,-417.593383789,-418.992248535,-418.914489746,27.2988071442
302,302,0.123666651547,-412.033172607,-411.585998535,-413.38079834,-413.275970459,29.0437870026
303,303,0.173909127712,-390.582855225,-390.186981201,-392.227478027,-391.892303467,32.0340194702
